artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,70s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,80s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,90s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,00's,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,10's,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo
The Beatles,Let it Be,1970,29.646,22,1,3,0.403,0,0.41,143.462,,,Bee Gees,Stayin' Alive,1978,32.283,11,1,1,0.826,0.00629,0.945,103.564,,,,Pink Floyd,Another Brick in the Wall (part 2),1980,33.829,8,1,1,0.394,0.000677,0.719,104.126,,,,Bryan Adams,(Everything I Do) I Do it For You,1991,38.357,2,1,1,0.365,1.35E-05,0.253,131.253,,,,Usher,Yeah!,2004,31.263,13,1,1,0.791,0,0.583,105.018,,,,Ke$ha,Tik-Toc,2010,22.175,125,1,2,0.837,0,0.714,120.028
Mungo Jerry,In the Summertime,1970,26.412,46,2,9,0.449,0,0.973,82.751,,,George Harrison,My Sweet Lord,1971,30.511,19,1,2,0.763,0,0.557,121.053,,,,Irene Cara,Flashdance... What a Feeling,1983,32.698,9,1,2,0.654,3.21E-06,0.399,122.491,,,,Whitney Houston,I Will Always Love You,1992,37.946,3,1,2,0.214,5.30E-06,0.108,66.98,,,,Lady GaGa,Poker Face,2009,30.835,16,1,2,0.806,1.33E-06,0.776,119.001,,,,Eminem & Rihanna,Love The Way You Lie,2010,18.577,246,2,5,0.925,0,0.641,86.989
Shocking Blue,Venus,1970,22.584,112,3,19,0.762,0.0286,0.957,128.111,,,The Beatles,Let it Be,1970,29.646,22,1,3,0.403,0,0.41,143.462,,,,Kim Carnes,Bette Davis Eyes,1981,31.333,12,1,3,0.649,0,0.596,116.624,,,,Celine Dion,My Heart Will Go On,1998,37.126,5,1,3,0.276,0.00000533,0.0382,99.195,,,,Eminem,Lose Yourself,2002,30.831,17,1,3,0.744,0.000423,0.0612,171.374,,,,Bruno Mars,Just the Way You Are,2010,16.521,354,3,7,0.843,0,0.434,109.012
Simon & Garfunkel,Bridge Over Troubled Water,1970,21.501,141,4,24,0.206,0.000649,0.264,79.764,,,Abba,Dancing Queen,1976,28.475,29,1,4,0.884,0.00166,0.752,100.812,,,,The Police,Every Breath You Take,1983,30.769,18,2,4,0.452,0.00294,0.74,117.401,,,,Sinead O'Connor,Nothing Compares 2 U,1990,34.546,7,1,4,0.574,0.0000233,0.161,119.917,,,,Rihanna & Jay-Z,Umbrella,2007,29.576,23,1,4,0.829,0,0.575,174.028,,,,Katy Perry,Firework,2010,15.795,396,4,8,0.826,0,0.649,124.072
B J Thomas,Raindrops Keep Falling On My Head,1970,16.806,340,5,48,0.446,0.000124,0.654,104.962,,,John Travolta & Olivia Newton-John,You're the One That I Want,1978,27.364,37,2,5,0.612,0.00288,0.822,106.945,,,,Michael Jackson,Billie Jean,1983,28.886,27,3,5,0.654,0.0158,0.847,117.046,,,,Elton John,Candle in the Wind '97,1997,32.366,10,1,5,0.224,0,0.484,125.526,,,,Leona Lewis,Bleeding Love,2008,29.319,24,1,5,0.656,0,0.225,104.036,,,,Katy Perry & Snoop Dogg,California Gurls,2010,15.436,429,5,10,0.753,0,0.403,125.005
Norman Greenbaum,Spirit in the Sky,1970,15.768,399,6,54,0.617,0.00404,0.543,128.903,,,John Lennon,Imagine,1971,26.981,40,2,6,0.257,0.183,0.169,75.752,,,,Stevie Wonder,I Just Called to Say I Love You,1984,27.764,34,1,6,0.551,1.57E-06,0.65,113.535,,,,Cher,Believe,1998,31.229,14,2,6,0.917,0,0.459,132.975,,,,The Black Eyed Peas,I Gotta Feeling,2009,27.967,32,2,6,0.766,0,0.61,127.96,,,,Rihanna,Only girl (in the world),2010,15.244,446,6,12,0.716,1.72E-05,0.595,125.921
Led Zeppelin,Whole Lotta Love,1970,15.244,445,7,64,0.902,0.131,0.422,89.74,,,Queen,Bohemian Rhapsody,1976,26.687,42,2,7,0.402,0,0.228,143.883,,,,USA For Africa,We Are the World,1985,27.724,35,1,7,0.447,0,0.292,72.58,,,,Coolio,Gangsta's Paradise,1995,31.033,15,1,7,0.514,0,0.387,79.974,,,,Eminem,Without Me,2002,26.818,41,2,7,0.669,0,0.662,112.238,,,,Taio Cruz,Dynamite,2010,14.933,460,7,14,0.804,0,0.818,119.968
The Kinks,Lola,1970,14.991,457,8,68,0.917,0.231,0.902,152.113,,,The Village People,YMCA,1978,26.56,44,3,8,0.951,0,0.671,126.643,,,,George Michael,Careless Whisper,1984,27.047,39,2,8,0.319,2.63E-06,0.526,76.58,,,,P Diddy & Faith Evans,I'll Be Missing You,1997,29.039,26,2,8,0.479,0.00126,0.925,109.878,,,,Shakira & Wyclef Jean,Hips don't lie,2006,26.066,51,1,8,0.824,0,0.756,100.024,,,,Owl City,Fireflies,2010,14.295,532,8,16,0.661,0,0.461,180.118
Creedence Clearwater Revival,Up Around the Bend,1970,14.543,511,9,77,0.85,0.779,0.813,130.318,,,Mungo Jerry,In the Summertime,1970,26.412,46,2,9,0.449,0,0.973,82.751,,,,Survivor,Eye of the Tiger,1982,26.517,45,1,9,0.599,0.000311,0.548,108.873,,,,Britney Spears,Baby One More Time,1999,28.32,31,1,9,0.699,0.000131,0.907,92.96,,,,Kylie Minogue,Can't Get You Out of My Head,2001,25.843,52,1,9,0.578,5.49E-06,0.459,137.013,,,,The Black Eyed Peas,The Time (Dirty Bit),2010,13.659,613,9,18,0.813,2.77E-06,0.436,127.979
Christie,Yellow River,1970,14.337,526,10,79,0.544,0,0.877,129.851,,,Blondie,Heart of Glass,1979,25.578,57,1,10,0.577,0.00836,0.845,114.478,,,,Madonna,Like a Prayer,1989,25.841,53,1,10,0.842,2.11E-05,0.257,111.037,,,,Spice Girls,Wannabe,1996,27.958,33,1,10,0.864,0,0.891,110.008,,,,OutKast,Hey Ya!,2003,25.767,55,1,10,0.974,0.000532,0.965,79.526,,,,Katy Perry,Teenage Dream,2010,12.851,721,10,20,0.804,3.02E-06,0.605,119.999
George Harrison,My Sweet Lord,1971,30.511,19,1,2,0.763,0,0.557,121.053,,,Carl Douglas,Kung Fu Fighting,1974,24.942,68,1,11,0.673,6.84E-05,0.59,102.035,,,,Barbra Streisand,A Woman in Love,1980,25.821,54,2,11,0.245,1.46E-05,0.333,169.747,,,,Hanson,Mmmbop,1997,27.666,36,3,11,0.937,0.0046,0.619,104.872,,,,50 Cent,In Da Club,2003,25.628,56,2,11,0.72,0,0.805,90.059,,,,Rihanna & Calvin Harris,We Found Love,2011,22.418,119,1,1,0.766,0.00138,0.6,127.986
John Lennon,Imagine,1971,26.981,40,2,6,0.257,0.183,0.169,75.752,,,Terry Jacks,Seasons in the Sun,1974,24.431,73,2,12,0.611,0,0.821,98.949,,,,Joan Jett & The Blackhearts,I Love Rock 'n' Roll,1982,24.787,69,2,12,0.716,0,0.901,94.379,,,,Los Del Rio,Macarena,1996,27.221,38,2,12,0.721,4.36E-05,0.965,103.018,,,,The Black Eyed Peas,Where is the Love?,2003,25.482,59,3,12,0.696,0,0.804,94.09,,,,LMFAO,Party Rock Anthem,2011,19.732,188,2,3,0.727,0,0.359,129.993
Rod Stewart,Maggie May,1971,19.868,178,3,28,0.574,0.113,0.543,129.449,,,The Rolling Stones,Angie,1973,24.217,77,1,13,0.554,0.000152,0.407,136.302,,,,Culture Club,Karma Chameleon,1983,24.516,72,4,13,0.73,0,0.894,92.049,,,,Ace of Base,The Sign,1994,26.331,47,1,13,0.786,0.0701,0.899,96.987,,,,Katy Perry,I Kissed A Girl,2008,25.327,62,2,13,0.76,0,0.696,129.996,,,,Adele,Rolling In The Deep,2011,18.69,238,3,4,0.756,0,0.522,104.945
Lynn Anderson,I Beg Your Pardon (I Never Promised You a Rose Garden),1971,18.929,226,4,33,0.419,0.000106,0.406,94.973,,,Chic,Le Freak,1979,23.788,86,2,14,0.641,6.42E-05,0.903,118.533,,,,Phil Collins,Another Day in Paradise,1989,24.071,80,2,14,0.565,0.00269,0.365,101.967,,,,UB40,Can't Help Falling in Love,1993,26.132,49,1,14,0.722,0.00388,0.836,172.406,,,,Madonna,Hung Up,2005,25.042,65,1,14,0.647,0.161,0.405,125.02,,,,Bruno Mars,Grenade,2011,17.677,294,4,6,0.558,0,0.227,110.443
Three Dog Night,Joy to the World,1971,15.83,390,5,52,0.679,0.00121,0.971,126.867,,,Eagles,Hotel California,1977,23.505,91,1,15,0.508,0.000494,0.609,147.125,,,,John Lennon,(Just Like) Starting Over,1980,23.109,101,3,15,0.79,6.06E-05,0.421,99.104,,,,No Doubt,Don't Speak,1997,26.107,50,4,15,0.709,1.78E-05,0.536,76.039,,,,Justin Timberlake,Sexyback,2006,24.957,67,2,15,0.583,0,0.964,117,,,,Lady GaGa,Born This Way,2011,15.456,427,5,9,0.837,0,0.445,123.879
The Rolling Stones,Brown Sugar,1971,15.491,424,6,56,0.934,0.00021,0.963,128.606,,,Bee Gees,Night Fever,1978,23.399,92,4,16,0.826,0.00629,0.945,103.564,,,,Prince,When Doves Cry,1984,22.91,106,3,16,0.989,4.45E-05,0.84,126.47,,,,Madonna,Vogue,1990,25.495,58,2,16,0.88,0.00351,0.329,115.998,,,,Shakira,"Whenever, Wherever",2002,24.26,76,3,16,0.832,1.12E-05,0.872,107.661,,,,Jennifer Lopez & Pitbull,On The Floor,2011,15.346,437,6,11,0.777,0.000467,0.591,130
Isaac Hayes,Theme From 'Shaft',1971,14.918,463,7,69,0.706,0.000192,0.859,120.355,,,Tony Orlando & Dawn,Tie a Yellow Ribbon 'round the Old Oak Tree,1973,23.339,94,2,17,0.615,0,0.68,87.601,,,,Culture Club,Do You Really Want to Hurt Me?,1982,22.558,113,3,17,0.408,0,0.38,100.495,,,,All-4-One,I Swear,1994,25.286,63,2,17,0.407,0,0.23,83.207,,,,Flo-Rida & T-Pain,Low,2008,23.911,84,3,17,0.609,0,0.304,128.008,,,,Maroon 5 & Christina Aguilera,Moves Like Jagger,2011,15.233,448,7,13,0.76,0,0.627,128.018
Tom Jones,She's a Lady,1971,14.9,467,8,71,0.876,0,0.624,119.702,,,Boney M,Rivers of Babylon,1978,23.253,96,5,18,0.851,0.000912,0.741,115.118,,,,Diana Ross,Upside Down,1980,22.513,115,4,18,0.855,0.0282,0.884,107.868,,,,Bruce Springsteen,Streets of Philadelphia,1994,25.108,64,3,18,0.19,0.226,0.47,93.669,,,,Nelly & Kelly Rowland,Dilemma,2002,23.578,89,4,18,0.536,8.13E-05,0.589,168.143,,,,Adele,Someone Like You,2011,13.966,567,8,17,0.33,0,0.285,135.109
Tony Orlando & Dawn,Knock Three Times,1971,14.194,544,9,85,0.58,0,0.923,123.127,,,Shocking Blue,Venus,1970,22.584,112,3,19,0.762,0.0286,0.957,128.111,,,,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,22.509,116,1,19,0.824,0.000307,0.867,118.814,,,,Ricky Martin,Livin' La Vida Loca,1999,24.99,66,2,19,0.954,0,0.933,178.043,,,,Lady GaGa,Bad Romance,2009,23.137,99,3,19,0.921,5.24E-05,0.714,119.001,,,,"Pitbull, Ne-Yo, Afrojack & Nayer",Give Me Everything,2011,13.595,618,9,19,0.939,0,0.529,129.023
Carole King,It's Too Late,1971,13.74,601,10,97,0.441,0.00562,0.811,208.282,,,Chicago,If You Leave Me Now,1976,22.065,127,3,20,0.564,0.000828,0.276,104.212,,,,A-Ha,Take On Me,1985,22.432,118,2,20,0.902,0.00125,0.876,84.412,,,,The Fugees,Killing Me Softly With His Song,1996,24.407,74,3,20,0.29,0.00000102,0.506,92.409,,,,Fergie,Big Girls Don't Cry,2007,23.027,102,2,20,0.641,0,0.253,113.082,,,,Katy Perry & Kanye West,E.T.,2011,11.27,991,10,26,0.877,0,0.778,151.6
Don McLean,American Pie,1972,21.509,140,1,23,0.481,0,0.491,138.45,,,Gloria Gaynor,I Will Survive,1979,22.062,128,3,21,0.725,0.00805,0.529,116.67,,,,Blondie,Call Me,1980,22.344,122,5,21,0.833,0.0025,0.773,142.673,,,,Boyz II Men,End of the Road,1992,24.134,79,2,21,0.427,0,0.529,149.703,,,,The Pussycat Dolls,Don't Cha,2005,22.946,104,2,21,0.637,2.50E-06,0.569,119.988,,,,Gotye & Kimbra,Somebody That I Used to Know,2012,14.593,505,1,15,0.495,0.000133,0.72,129.062
Harry Nilsson,Without You,1972,17.472,302,2,39,0.185,2.89E-06,0.145,64.933,,,Elton John & Kiki Dee,Don't Go Breaking My Heart,1976,21.605,135,4,22,0.863,5.59E-06,0.776,131.196,,,,Rick Astley,Never Gonna Give You Up,1987,21.841,131,2,22,0.939,4.35E-05,0.916,113.33,,,,Aerosmith,I Don't Want to Miss a Thing,1998,24.004,81,3,22,0.662,0,0.138,121.154,,,,Madonna,Music,2000,22.767,108,1,22,0.802,0.0876,0.871,119.854,,,,Carly Rae Jepsen,Call Me Maybe,2012,12.829,723,2,21,0.58,2.28E-06,0.66,120.021
Hot Butter,Popcorn,1972,15.283,442,3,63,0.626,0.703,0.952,136.886,,,Don McLean,American Pie,1972,21.509,140,1,23,0.481,0,0.491,138.45,,,,Paul McCartney & Stevie Wonder,Ebony & Ivory,1982,21.76,133,4,23,0.458,0,0.805,80.692,,,,Lou Bega,Mambo No 5 (A Little Bit of ...),1999,23.964,83,3,23,0.807,0,0.892,174.06,,,,Timbaland & OneRepublic,Apologize,2007,22.718,110,3,23,0.604,0,0.101,118.016,,,,PSY,Gangnam Style,2012,10.183,,3,31,0.937,0,0.749,132.067
Daniel Boone,Beautiful Sunday,1972,15.212,449,4,66,0.463,0,0.91,121.923,,,Simon & Garfunkel,Bridge Over Troubled Water,1970,21.501,141,4,24,0.206,0.000649,0.264,79.764,,,,Michael Jackson,Beat It,1983,21.259,147,5,24,0.867,7.98E-06,0.915,138.858,,,,Rob Thomas & Santana,Smooth,1999,23.229,97,4,24,0.923,0.00000473,0.961,115.996,,,,Nickelback,How You Remind Me,2002,22.496,117,5,24,0.764,0,0.543,172.094,,,,fun.,We Are Young,2012,9.301,,4,38,0.638,7.66E-05,0.735,184.086
Neil Young,Heart of Gold,1972,14.419,519,5,78,0.459,0.0274,0.803,171.165,,,Patrick Hernandez,Born to Be Alive,1979,21.408,145,4,25,0.867,0,0.809,131.467,,,,Starsound,Stars On 45,1981,21.235,148,2,25,0.653,2.44E-06,0.968,122.569,,,,"Bryan Adams, Rod Stewart & Sting",All For Love,1994,23.146,98,4,25,0.569,0,0.146,74.835,,,,Beyonce,Crazy in Love,2003,22.371,120,4,25,0.77,0,0.681,99.165,,,,Rihanna,Diamonds,2012,9.297,,5,39,0.71,0,0.393,91.972
The Moody Blues,Nights in White Satin,1972,14.183,546,6,86,0.483,0.497,0.173,84.71,,,George McCrae,Rock Your Baby,1974,20.626,160,3,26,0.906,0.00122,0.892,104.411,,,,Olivia Newton-John,(Let's Get) Physical,1981,20.763,157,3,26,0.251,0,0.253,124.956,,,,Brandy & Monica,The Boy is Mine,1998,22.842,107,4,26,0.707,0.00106,0.761,93.145,,,,"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),2001,22.366,121,2,26,0.808,3.67E-06,0.638,109.902,,,,Flo-Rida,Whistle,2012,9.159,,6,40,0.937,0,0.739,103.976
Roberta Flack,The First Time Ever I Saw Your Face,1972,14.087,557,7,89,0.0264,0.00205,0.139,120.653,,,Bee Gees,Tragedy,1979,20.404,165,5,27,0.532,0.0109,0.81,117.955,,,,Berlin,Take My Breath Away,1986,20.757,158,1,27,0.609,0,0.579,96.149,,,,Nirvana,Smells Like Teen Spirit,1992,22.747,109,3,27,0.912,0.000173,0.72,116.761,,,,Sean Kingston,Beautiful Girls,2007,22.27,124,4,27,0.661,0,0.769,130.009,,,,Adele,Skyfall,2012,9.146,,7,41,0.552,0,0.0789,75.881
Al Green,Let's Stay Together,1972,13.226,664,8,,0.397,0.0115,0.507,101.985,,,Rod Stewart,Maggie May,1971,19.868,178,3,28,0.574,0.113,0.543,129.449,,,,The Human League,Don't You Want Me,1982,20.614,162,5,28,0.738,0,0.958,117.656,,,,Michael Jackson,Black Or White,1991,22.681,111,2,28,0.9,0.0315,0.872,115.029,,,,Las Ketchup,The Ketchup Song (Asereje),2002,22.143,126,6,28,0.923,1.10E-06,0.868,184.819,,,,Flo-Rida,Good Feeling,2012,8.931,,8,45,0.89,0.00286,0.684,128.011
Donny Osmond,Puppy Love,1972,13.165,675,9,,0.681,7.98E-06,0.538,102.338,,,Abba,Waterloo,1974,19.855,179,4,29,0.926,3.38E-06,0.779,147.564,,,,Los Lobos,La Bamba,1987,20.287,169,3,29,0.751,0.000738,0.886,156.509,,,,Snow,Informer,1993,22.002,129,2,29,0.551,0,0.909,98.71,,,,t.A.T.u.,All the Things She Said,2003,21.812,132,5,29,0.834,0.00609,0.376,89.956,,,,Bruno Mars,Locked Out Of Heaven,2012,8.668,,9,48,0.698,0,0.867,143.994
Gilbert O'Sullivan,Alone Again (Naturally),1972,12.743,737,10,,0.464,0.000133,0.559,171.762,,,Abba,Fernando,1976,19.786,185,5,30,0.526,2.17E-06,0.467,110.517,,,,Falco,Rock Me Amadeus,1986,20.066,173,2,30,0.817,0.00336,0.889,176.737,,,,Aqua,Barbie Girl,1997,21.865,130,5,30,0.957,0.284,0.962,129.985,,,,Gnarls Barkley,Crazy,2006,21.573,136,3,30,0.741,0.0577,0.612,111.963,,,,Maroon 5 & Wiz Khalifa,Payphone,2012,7.206,,10,69,0.756,0,0.523,110.028
The Rolling Stones,Angie,1973,24.217,77,1,13,0.554,0.000152,0.407,136.302,,,Roberta Flack,Killing Me Softly With His Song,1973,19.286,213,3,31,0.381,0,0.329,121.568,,,,Band Aid,Do They Know It's Christmas?,1984,20.019,175,4,31,0.642,3.33E-05,0.349,115.412,,,,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),1993,21.677,134,3,31,0.672,0,0.304,105.212,,,,James Blunt,You're Beautiful,2005,21.497,143,3,31,0.183,0.928,0.218,78.936,,,,"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,2013,9.767,,1,34,0.504,1.78E-05,0.881,120
Tony Orlando & Dawn,Tie a Yellow Ribbon 'round the Old Oak Tree,1973,23.339,94,2,17,0.615,0,0.68,87.601,,,Donna Summer,Hot Stuff,1979,19.184,217,6,32,0.743,0.0306,0.966,120.471,,,,Foreigner,I Want to Know What Love Is,1985,19.895,177,3,32,0.471,1.76E-06,0.423,81.204,,,,Ace of Base,All That She Wants,1993,21.572,137,4,32,0.625,7.98E-05,0.858,93.764,,,,David Guetta & Akon,Sexy Chick (sexy Bitch),2009,21.205,149,4,32,0.562,0.000418,0.798,130.003,,,,Macklemore & Ryan Lewis,Thrift Shop,2013,7.928,,2,55,0.525,0,0.699,94.949
Roberta Flack,Killing Me Softly With His Song,1973,19.286,213,3,31,0.381,0,0.329,121.568,,,Lynn Anderson,I Beg Your Pardon (I Never Promised You a Rose Garden),1971,18.929,226,4,33,0.419,0.000106,0.406,94.973,,,,Dionne Warwick & Friends,That's What Friends Are For,1986,19.851,180,3,33,0.242,4.34E-05,0.169,120.126,,,,TLC,No Scrubs,1999,21.529,138,5,33,0.675,0.000717,0.59,92.909,,,,Pink,So What,2008,20.862,155,4,33,0.87,0,0.462,126.019,,,,will.i.am & Britney Spears,Scream & Shout,2013,7.653,,3,60,0.685,8.96E-05,0.501,130.033
Carly Simon,You're So Vain,1973,18.481,252,4,35,0.678,6.69E-06,0.647,106.186,,,Bee Gees,How Deep is Your Love?,1977,18.825,231,2,34,0.357,0,0.674,104.938,,,,Lipps Inc,Funkytown,1980,19.793,183,6,34,0.453,0.374,0.257,122.151,,,,Take That,Back For Good,1995,21.5,142,2,34,0.504,0,0.547,78.961,,,,U2,Beautiful Day,2000,20.667,159,2,34,0.926,0.00136,0.454,136.279,,,,Avicii,Wake Me Up,2013,7.58,,4,62,0.783,0.0012,0.643,124.08
Elton John,Crocodile Rock,1973,18.256,266,5,37,0.8,1.51E-05,0.968,149.91,,,Carly Simon,You're So Vain,1973,18.481,252,4,35,0.678,6.69E-06,0.647,106.186,,,,Tina Turner,What's Love Got to Do With It?,1984,19.698,190,5,35,0.664,0,0.617,105.023,,,,Eiffel 65,Blue (Da Ba Dee),1999,21.362,146,6,35,0.969,0.000162,0.765,128.007,,,,Lady GaGa & Colby O'Donis,Just Dance,2008,20.592,163,5,35,0.737,4.19E-05,0.753,118.994,,,,Pink & Nate Ruess,Just Give Me a Reason,2013,7.336,,5,64,0.547,0.000302,0.441,95.002
Lobo,I'd Love You to Want Me,1973,15.335,438,6,60,0.543,0.000123,0.44,77.507,,,Boney M,Ma Baker,1977,18.474,253,3,36,0.728,0.000049,0.904,129.001,,,,Cyndi Lauper,Girls Just Wanna Have Fun,1984,19.692,191,6,36,0.586,0.000314,0.78,120.418,,,,Mariah Carey,Without You,1994,21.097,152,5,36,0.526,2.01E-06,0.147,122.06,,,,Beyonce,Irreplaceable,2006,20.452,164,4,36,0.694,5.46E-06,0.509,175.868,,,,Lorde,Royals,2013,7.247,,6,66,0.428,0,0.337,84.878
The Sweet,The Ballroom Blitz,1973,15.08,452,7,67,0.799,0.00154,0.889,108.381,,,Elton John,Crocodile Rock,1973,18.256,266,5,37,0.8,1.51E-05,0.968,149.91,,,,David Bowie,Let's Dance,1983,19.628,193,6,37,0.719,0.0373,0.413,113.377,,,,Boyz II Men,I'll Make Love to You,1994,21,154,6,37,0.501,0,0.2,142.589,,,,Avril Lavigne,Girlfriend,2007,20.323,167,5,37,0.959,0.000206,0.67,163.983,,,,Katy Perry,Roar,2013,7.139,,7,71,0.772,6.60E-06,0.455,179.984
Elton John,Goodbye Yellow Brick Road,1973,13.856,585,8,93,0.473,0.00141,0.397,121.227,,,The Knack,My Sharona,1979,17.864,285,7,38,0.7,0.00125,0.897,147.245,,,,Frankie Goes To Hollywood,Relax,1984,19.617,194,7,38,0.695,1.09E-05,0.691,114.93,,,,The Backstreet Boys,I Want it That Way,1999,20.239,170,7,38,0.694,0,0.482,99.039,,,,The Black Eyed Peas,Boom Boom Pow,2009,19.786,184,5,38,0.86,0.00233,0.407,130.051,,,,Eminem & Rihanna,The Monster,2013,6.517,,8,91,0.853,0,0.624,110.049
Stevie Wonder,Superstition,1973,13.668,611,9,100,0.634,0.0064,0.872,100.499,,,Harry Nilsson,Without You,1972,17.472,302,2,39,0.185,2.89E-06,0.145,64.933,,,,Diana Ross & Lionel Richie,Endless Love,1981,19.43,204,4,39,0.332,0.000248,0.237,93.633,,,,Celine Dion,Because You Loved Me,1996,20.098,172,4,39,0.466,0,0.178,119.916,,,,Avril Lavigne,Complicated,2002,19.785,186,7,39,0.776,7.74E-06,0.427,77.987,,,,Daft Punk & Pharrell Williams,Get Lucky,2013,6.509,,9,93,0.793,1.82E-06,0.863,116.049
Gilbert O'Sullivan,Get Down,1973,12.958,702,10,,0.888,8.39E-06,0.919,124.659,,,Bee Gees,Too Much Heaven,1979,17.401,305,8,40,0.439,8.88E-05,0.353,165.922,,,,George Michael,Faith,1987,19.426,205,4,40,0.48,3.58E-05,0.607,95.846,,,,Toni Braxton,Un-Break My Heart,1996,19.967,176,5,40,0.426,0,0.112,110.018,,,,Britney Spears,Toxic,2004,19.599,195,2,40,0.838,0.025,0.924,143.04,,,,Miley Cyrus,Wrecking Ball,2013,5.857,,10,,0.422,0,0.349,119.964
Carl Douglas,Kung Fu Fighting,1974,24.942,68,1,11,0.673,6.84E-05,0.59,102.035,,,M,Pop Muzik,1979,17.168,315,9,41,0.727,0.00021,0.969,110.796,,,,Steve Miller Band,Abracadabra,1982,19.254,216,6,41,0.537,3.01E-06,0.964,127.511,,,,Londonbeat,I've Been Thinking About You,1990,19.818,181,3,41,0.712,0,0.89,113.664,,,,Madonna & Justin Timberlake,Four Minutes,2008,19.342,209,6,41,0.931,0.00696,0.767,113.029,,,,Pharrell Williams,Happy,2014,7.238,,1,67,0.822,0,0.962,160.019
Terry Jacks,Seasons in the Sun,1974,24.431,73,2,12,0.611,0,0.821,98.949,,,Donna Summer,I Feel Love,1977,17.16,316,4,42,0.79,0.711,0.96,128.13,,,,Madonna,Papa Don't Preach,1986,19.015,223,4,42,0.906,0.000791,0.971,121.54,,,,R Kelly,I Believe I Can Fly,1997,19.77,187,6,42,0.444,0,0.0438,120.179,,,,Beyonce & Shakira,Beautiful Liar,2007,19.316,211,6,42,0.751,0.000237,0.418,91.977,,,,Meghan Trainor,All About That Bass,2014,6.038,,2,,0.887,2.87E-06,0.961,134.052
George McCrae,Rock Your Baby,1974,20.626,160,3,26,0.906,0.00122,0.892,104.411,,,Gerry Rafferty,Baker Street,1978,17.089,321,6,43,0.349,0.028,0.421,113.762,,,,Tears For Fears,Shout,1985,18.834,229,4,43,0.942,1.87E-05,0.498,97.909,,,,Bryan Adams,Have You Ever Really Loved a Woman?,1995,19.648,192,3,43,0.478,1.33E-05,0.358,145.517,,,,Pink,Get the Party Started,2002,19.312,212,8,43,0.904,0,0.961,128.931,,,,Sam Smith,Stay With Me,2014,5.403,,3,,0.42,6.39E-05,0.184,84.094
Abba,Waterloo,1974,19.855,179,4,29,0.926,3.38E-06,0.779,147.564,,,Rod Stewart,Do Ya Think I'm Sexy?,1979,17.044,325,10,44,0.465,0.000667,0.877,112.087,,,,Queen,Another One Bites the Dust,1980,18.772,235,7,44,0.528,0.329,0.756,109.975,,,,Everything But The Girl,Missing,1996,19.549,196,6,44,0.484,4.75E-05,0.697,123.534,,,,Akon,Lonely,2005,19.259,215,4,44,0.496,0,0.586,90.075,,,,Clean Bandit & Jess Glynne,Rather Be,2014,5.058,,4,,0.586,2.03E-06,0.549,120.97
Bachman-Turner Overdrive,You Ain't Seen Nothin' Yet,1974,15.763,400,5,55,0.439,0.000277,0.76,118.392,,,Billy Swan,I Can Help,1975,16.863,336,1,46,0.675,0.019,0.53,125.313,,,,U2,With Or Without You,1987,18.61,243,5,45,0.429,0.355,0.113,110.171,,,,Savage Garden,Truly Madly Deeply,1998,19.544,197,5,45,0.698,0,0.816,168.12,,,,Flo-Rida & Ke$ha,Right Round,2009,19.087,220,6,45,0.802,0,0.734,124.977,,,,Lilly Wood & The Prick & Robin Schulz,PRAYER IN C,2014,4.452,,5,,0.875,5.41E-06,0.8,123.013
Barbra Streisand,The Way We Were,1974,14.711,490,6,73,0.32,0.00141,0.171,138.108,,,Wings,Mull of Kintyre,1977,16.819,339,5,47,0.363,0,0.418,90.807,,,,The Bangles,Walk Like an Egyptian,1986,18.586,244,5,46,0.891,4.66E-05,0.819,103.022,,,,Mariah Carey & Boyz II Men,One Sweet Day,1995,19.467,200,4,46,0.495,0,0.302,128.228,,,,Evanescence,Bring Me to Life,2003,18.951,224,6,46,0.943,2.06E-06,0.296,94.612,,,,Taylor Swift,Shake it Off,2014,4.417,,6,,0.785,0,0.943,160.02
Steve Miller Band,The Joker,1974,14.006,565,7,90,0.448,5.30E-06,0.796,83.293,,,B J Thomas,Raindrops Keep Falling On My Head,1970,16.806,340,5,48,0.446,0.000124,0.654,104.962,,,,Soft Cell,Tainted Love,1981,18.559,249,5,47,0.45,6.43E-06,0.626,144.437,,,,Eric Clapton,Tears in Heaven,1992,19.283,214,4,47,0.336,0.00264,0.422,79.109,,,,Eamon,F**k it (I Don't Want You Back),2004,18.946,225,3,47,0.917,0.0449,0.506,130.008,,,,Ariana Grande & Iggy Azalea,Problem,2014,4.09,,7,,0.805,8.83E-06,0.625,103.008
